AUUC,AUUC_random,C,method,penalty,split
51806.41971215844,31207.646026052476,10,ITE_2M,l2,0
51734.68970534821,31207.646026052476,10,ITE_SDR,l2,0
52954.63571812576,31207.646026052476,10,MITE_2M,l2,0
52804.04116769541,31207.646026052476,10,MITE_SDR,l2,0
50436.92698939849,30399.752588804316,10,ITE_2M,l2,1
50359.440385979586,30399.752588804316,10,ITE_SDR,l2,1
51620.305820070185,30399.752588804316,10,MITE_2M,l2,1
51453.28641429678,30399.752588804316,10,MITE_SDR,l2,1
51402.36940528758,30829.69943635138,10,ITE_2M,l2,2
51331.35859552769,30829.69943635138,10,ITE_SDR,l2,2
52541.452971922976,30829.69943635138,10,MITE_2M,l2,2
52408.391318893264,30829.69943635138,10,MITE_SDR,l2,2
51354.09577506893,30898.60125542157,10,ITE_2M,l2,3
51298.44442599822,30898.60125542157,10,ITE_SDR,l2,3
52466.25250017436,30898.60125542157,10,MITE_2M,l2,3
52304.604957540716,30898.60125542157,10,MITE_SDR,l2,3
51253.58900092976,30935.639768512163,10,ITE_2M,l2,4
51213.161310808835,30935.639768512163,10,ITE_SDR,l2,4
52622.70229344467,30935.639768512163,10,MITE_2M,l2,4
52421.2466448984,30935.639768512163,10,MITE_SDR,l2,4
51073.72256036147,30854.42818179651,10,ITE_2M,l2,5
50999.46432572096,30854.42818179651,10,ITE_SDR,l2,5
52412.90412601717,30854.42818179651,10,MITE_2M,l2,5
52200.77459267786,30854.42818179651,10,MITE_SDR,l2,5
51422.309893221056,31075.208760766545,10,ITE_2M,l2,6
51360.51287748933,31075.208760766545,10,ITE_SDR,l2,6
52510.66251287508,31075.208760766545,10,MITE_2M,l2,6
52355.95523424446,31075.208760766545,10,MITE_SDR,l2,6
50202.22182946618,30425.288227679775,10,ITE_2M,l2,7
50118.14263502586,30425.288227679775,10,ITE_SDR,l2,7
51496.70629613724,30425.288227679775,10,MITE_2M,l2,7
51315.50229634986,30425.288227679775,10,MITE_SDR,l2,7
49657.473664052835,30144.178545452116,10,ITE_2M,l2,8
49573.06714274151,30144.178545452116,10,ITE_SDR,l2,8
50937.64766282878,30144.178545452116,10,MITE_2M,l2,8
50801.63319838951,30144.178545452116,10,MITE_SDR,l2,8
51324.28790871788,30939.293307334257,10,ITE_2M,l2,9
51262.448293949295,30939.293307334257,10,ITE_SDR,l2,9
52547.97575647725,30939.293307334257,10,MITE_2M,l2,9
52373.608584251044,30939.293307334257,10,MITE_SDR,l2,9
52407.24934050077,31705.519995653114,10,ITE_2M,l2,10
52367.877146198065,31705.519995653114,10,ITE_SDR,l2,10
53703.35143688691,31705.519995653114,10,MITE_2M,l2,10
53491.694228274246,31705.519995653114,10,MITE_SDR,l2,10
51002.33651709782,30609.24825561444,10,ITE_2M,l2,11
50951.69785150672,30609.24825561444,10,ITE_SDR,l2,11
52192.649229508344,30609.24825561444,10,MITE_2M,l2,11
51991.957897027765,30609.24825561444,10,MITE_SDR,l2,11
50520.13899623764,30574.853185167085,10,ITE_2M,l2,12
50451.399399872476,30574.853185167085,10,ITE_SDR,l2,12
52045.28295134758,30574.853185167085,10,MITE_2M,l2,12
51814.65716698418,30574.853185167085,10,MITE_SDR,l2,12
50773.62267439553,30460.491545177836,10,ITE_2M,l2,13
50723.79801236006,30460.491545177836,10,ITE_SDR,l2,13
51995.5540152681,30460.491545177836,10,MITE_2M,l2,13
51826.939347580716,30460.491545177836,10,MITE_SDR,l2,13
51600.153178858556,31240.963506778542,10,ITE_2M,l2,14
51525.88306776676,31240.963506778542,10,ITE_SDR,l2,14
52920.33891005377,31240.963506778542,10,MITE_2M,l2,14
52756.091830700054,31240.963506778542,10,MITE_SDR,l2,14
50813.78159491518,30595.818122555414,10,ITE_2M,l2,15
50745.21619631053,30595.818122555414,10,ITE_SDR,l2,15
52128.86112096818,30595.818122555414,10,MITE_2M,l2,15
51940.15976864859,30595.818122555414,10,MITE_SDR,l2,15
51760.6207503726,31200.29496400134,10,ITE_2M,l2,16
51693.35850188444,31200.29496400134,10,ITE_SDR,l2,16
52845.22751500346,31200.29496400134,10,MITE_2M,l2,16
52704.47418679958,31200.29496400134,10,MITE_SDR,l2,16
50358.27659442139,30380.131348249997,10,ITE_2M,l2,17
50288.57318069091,30380.131348249997,10,ITE_SDR,l2,17
51456.155198316774,30380.131348249997,10,MITE_2M,l2,17
51351.659982068384,30380.131348249997,10,MITE_SDR,l2,17
51415.1228963816,31156.02816329956,10,ITE_2M,l2,18
51352.51476675283,31156.02816329956,10,ITE_SDR,l2,18
52804.734508325906,31156.02816329956,10,MITE_2M,l2,18
52625.117371508466,31156.02816329956,10,MITE_SDR,l2,18
49892.3753747495,30449.44195385465,10,ITE_2M,l2,19
49811.00743445554,30449.44195385465,10,ITE_SDR,l2,19
51335.721253743126,30449.44195385465,10,MITE_2M,l2,19
