AUUC,AUUC_random,C,method,penalty,split
31207.64602605248,31207.64602605248,0.01,ITE_2M,l1,0
31207.64602605248,31207.64602605248,0.01,ITE_SDR,l1,0
52954.46434116458,31207.64602605248,0.01,MITE_2M,l1,0
31207.64602605248,31207.64602605248,0.01,MITE_SDR,l1,0
30399.752588804316,30399.752588804316,0.01,ITE_2M,l1,1
30399.752588804316,30399.752588804316,0.01,ITE_SDR,l1,1
51620.74874503144,30399.752588804316,0.01,MITE_2M,l1,1
30399.752588804316,30399.752588804316,0.01,MITE_SDR,l1,1
30829.69943635138,30829.69943635138,0.01,ITE_2M,l1,2
30829.69943635138,30829.69943635138,0.01,ITE_SDR,l1,2
52541.16345316071,30829.69943635138,0.01,MITE_2M,l1,2
30829.69943635138,30829.69943635138,0.01,MITE_SDR,l1,2
30898.601255421567,30898.601255421567,0.01,ITE_2M,l1,3
30898.601255421567,30898.601255421567,0.01,ITE_SDR,l1,3
52465.35850636198,30898.601255421567,0.01,MITE_2M,l1,3
30898.601255421567,30898.601255421567,0.01,MITE_SDR,l1,3
30935.639768512163,30935.639768512163,0.01,ITE_2M,l1,4
30935.639768512163,30935.639768512163,0.01,ITE_SDR,l1,4
52622.57318987189,30935.639768512163,0.01,MITE_2M,l1,4
30935.639768512163,30935.639768512163,0.01,MITE_SDR,l1,4
30854.428181796513,30854.428181796513,0.01,ITE_2M,l1,5
30854.428181796513,30854.428181796513,0.01,ITE_SDR,l1,5
52413.27952589031,30854.428181796513,0.01,MITE_2M,l1,5
30854.428181796513,30854.428181796513,0.01,MITE_SDR,l1,5
31075.208760766564,31075.208760766538,0.01,ITE_2M,l1,6
31075.208760766564,31075.208760766538,0.01,ITE_SDR,l1,6
52510.51544535751,31075.208760766538,0.01,MITE_2M,l1,6
31075.208760766564,31075.208760766538,0.01,MITE_SDR,l1,6
30425.28822767978,30425.28822767977,0.01,ITE_2M,l1,7
30425.28822767978,30425.28822767977,0.01,ITE_SDR,l1,7
51497.59971672216,30425.28822767977,0.01,MITE_2M,l1,7
30425.28822767978,30425.28822767977,0.01,MITE_SDR,l1,7
30144.17854545212,30144.17854545212,0.01,ITE_2M,l1,8
30144.17854545212,30144.17854545212,0.01,ITE_SDR,l1,8
50935.63675439543,30144.17854545212,0.01,MITE_2M,l1,8
30144.17854545212,30144.17854545212,0.01,MITE_SDR,l1,8
30939.293307334257,30939.293307334257,0.01,ITE_2M,l1,9
30939.293307334257,30939.293307334257,0.01,ITE_SDR,l1,9
52548.445033192256,30939.293307334257,0.01,MITE_2M,l1,9
30939.293307334257,30939.293307334257,0.01,MITE_SDR,l1,9
31705.519995653114,31705.519995653114,0.01,ITE_2M,l1,10
31705.519995653114,31705.519995653114,0.01,ITE_SDR,l1,10
53704.70766666068,31705.519995653114,0.01,MITE_2M,l1,10
31705.519995653114,31705.519995653114,0.01,MITE_SDR,l1,10
30609.248255614453,30609.24825561444,0.01,ITE_2M,l1,11
30609.248255614453,30609.24825561444,0.01,ITE_SDR,l1,11
52193.02172709449,30609.24825561444,0.01,MITE_2M,l1,11
30609.248255614453,30609.24825561444,0.01,MITE_SDR,l1,11
30574.853185167085,30574.853185167085,0.01,ITE_2M,l1,12
30574.853185167085,30574.853185167085,0.01,ITE_SDR,l1,12
52045.68925208224,30574.853185167085,0.01,MITE_2M,l1,12
30574.853185167085,30574.853185167085,0.01,MITE_SDR,l1,12
30460.491545177843,30460.491545177843,0.01,ITE_2M,l1,13
30460.491545177843,30460.491545177843,0.01,ITE_SDR,l1,13
51994.85529980745,30460.491545177843,0.01,MITE_2M,l1,13
30460.491545177843,30460.491545177843,0.01,MITE_SDR,l1,13
31240.963506778546,31240.963506778546,0.01,ITE_2M,l1,14
31240.963506778546,31240.963506778546,0.01,ITE_SDR,l1,14
52921.43135847499,31240.963506778546,0.01,MITE_2M,l1,14
31240.963506778546,31240.963506778546,0.01,MITE_SDR,l1,14
30595.818122555404,30595.81812255541,0.01,ITE_2M,l1,15
30595.818122555404,30595.81812255541,0.01,ITE_SDR,l1,15
52130.36526526226,30595.81812255541,0.01,MITE_2M,l1,15
30595.818122555404,30595.81812255541,0.01,MITE_SDR,l1,15
31200.29496400136,31200.29496400134,0.01,ITE_2M,l1,16
31200.29496400136,31200.29496400134,0.01,ITE_SDR,l1,16
52845.37762406287,31200.29496400134,0.01,MITE_2M,l1,16
31200.29496400136,31200.29496400134,0.01,MITE_SDR,l1,16
30380.131348249986,30380.13134825,0.01,ITE_2M,l1,17
30380.131348249986,30380.13134825,0.01,ITE_SDR,l1,17
51454.82209641917,30380.13134825,0.01,MITE_2M,l1,17
30380.131348249986,30380.13134825,0.01,MITE_SDR,l1,17
31156.028163299547,31156.02816329956,0.01,ITE_2M,l1,18
31156.028163299547,31156.02816329956,0.01,ITE_SDR,l1,18
52804.65231166201,31156.02816329956,0.01,MITE_2M,l1,18
31156.028163299547,31156.02816329956,0.01,MITE_SDR,l1,18
30449.441953854654,30449.44195385465,0.01,ITE_2M,l1,19
30449.441953854654,30449.44195385465,0.01,ITE_SDR,l1,19
51336.91588288756,30449.44195385465,0.01,MITE_2M,l1,19
30449.441953854654,30449.44195385465,0.01,MITE_SDR,l1,19
29881.56257739532,29881.56257739532,0.01,ITE_2M,l1,20
29881.56257739532,29881.56257739532,0.01,ITE_SDR,l1,20
50796.62572276466,29881.56257739532,0.01,MITE_2M,l1,20
29881.56257739532,29881.56257739532,0.01,MITE_SDR,l1,20
30712.357347289584,30712.35734728958,0.01,ITE_2M,l1,21
30712.357347289584,30712.35734728958,0.01,ITE_SDR,l1,21
52009.36737594139,30712.35734728958,0.01,MITE_2M,l1,21
30712.357347289584,30712.35734728958,0.01,MITE_SDR,l1,21
30528.9178925007,30528.9178925007,0.01,ITE_2M,l1,22
30528.9178925007,30528.9178925007,0.01,ITE_SDR,l1,22
51721.40769781471,30528.9178925007,0.01,MITE_2M,l1,22
30528.9178925007,30528.9178925007,0.01,MITE_SDR,l1,22
30611.73137939615,30611.73137939615,0.01,ITE_2M,l1,23
