method,split,RMSE,AUUC,AUUC_thout
RAND,0,,302.4278435141241,562.4999999999586
ITE_best,0,0.0020366435238170885,473.9179883106028,788.7500000000564
ITE_2M,0,0.0020365177211005927,473.9179883106028,788.7500000000564
ITE_SDR,0,0.0020366871862594876,473.9179883106028,788.7500000000564
MITE_2M,0,0.0002222993927236436,694.1092136937344,893.749999999993
MITE_SDR,0,0.00022370651145689024,694.1092136937344,893.749999999993
Oracle,0,,694.1092136937344,893.749999999993
RAND,1,,361.1252614654877,562.4999999999571
ITE_best,1,0.001980296671050202,594.4207027793443,821.2500000000352
ITE_2M,1,0.0019801008180022474,594.4207027793443,821.2500000000352
ITE_SDR,1,0.0019803054585086333,594.4207027793443,821.2500000000352
MITE_2M,1,0.00027409719906779513,683.2224022854451,891.2499999999936
MITE_SDR,1,0.00027268078126234846,683.2224022854451,891.2499999999936
Oracle,1,,700.3952812438541,893.7499999999911
RAND,2,,340.53764484559724,562.4999999999569
ITE_best,2,0.0016613161098288883,526.7620269572129,856.250000000034
ITE_2M,2,0.0016609279175126724,526.7620269572129,856.250000000034
ITE_SDR,2,0.0016610355515774102,526.7620269572129,856.250000000034
MITE_2M,2,0.00023332255826263789,564.110777350592,891.2499999999931
MITE_SDR,2,0.00023654672512108584,564.110777350592,891.2499999999931
Oracle,2,,566.0371781793081,893.7499999999907
RAND,3,,130.43870457977755,562.4999999999577
ITE_best,3,0.001830448668816805,281.6894674671276,801.2499999999864
ITE_2M,3,0.0018301666976559686,281.6894674671276,801.2499999999864
ITE_SDR,3,0.0018300742857303867,281.6894674671276,801.2499999999864
MITE_2M,3,0.00012358190398076017,450.80463643003185,893.7499999999918
MITE_SDR,3,0.00012487571439731668,450.80463643003185,893.7499999999918
Oracle,3,,450.80463643003185,893.7499999999918
RAND,4,,159.57838953792088,562.4999999999577
ITE_best,4,0.0019948121691801338,299.68013034731604,751.2499999999776
ITE_2M,4,0.0019945413670701922,299.68013034731604,751.2499999999776
ITE_SDR,4,0.001994589271013624,299.68013034731604,751.2499999999776
MITE_2M,4,0.00020481284509989728,529.5230955140005,893.7499999999917
MITE_SDR,4,0.00020782231818859632,529.5230955140005,893.7499999999917
Oracle,4,,529.5230955140005,893.7499999999917
RAND,5,,452.1784511076803,562.4999999999563
ITE_best,5,0.0022084449517871725,599.6938758367146,818.7500000000598
ITE_2M,5,0.00220820058498866,599.6938758367146,818.7500000000598
ITE_SDR,5,0.002208264692290267,599.6938758367146,818.7500000000598
