method,split,RMSE,AUUC,AUUC_thout
RAND,0,,843.754402884435,699.9999999997864
ITE_best,0,0.001817798032642888,1165.801774892563,989.9999999997922
ITE_2M,0,0.001817435633564775,1165.801774892563,989.9999999997922
ITE_SDR,0,0.0018109962279560807,1165.801774892563,989.9999999997922
MITE_2M,0,0.00024031982191344633,1214.4677225919413,1029.999999999702
MITE_SDR,0,0.00024569363887384375,1214.4677225919413,1029.999999999702
Oracle,0,,1214.4677225919413,1029.999999999702
RAND,1,,880.665587754007,699.9999999997879
ITE_best,1,0.0017349263595893927,1178.9349257987371,973.9999999997544
ITE_2M,1,0.001734420392798742,1178.9349257987371,973.9999999997544
ITE_SDR,1,0.0017340100099960056,1178.9349257987371,973.9999999997544
MITE_2M,1,0.0003464166609712521,1247.5793832096415,1029.9999999997046
MITE_SDR,1,0.0003503319739166759,1247.5793832096415,1029.9999999997046
Oracle,1,,1247.5793832096415,1029.9999999997046
RAND,2,,756.1854458450289,699.9999999997883
ITE_best,2,0.0017513065477147997,1040.4403651759194,1005.9999999996547
ITE_2M,2,0.001748555597422256,1040.4403651759194,1005.9999999996547
ITE_SDR,2,0.0017499164670399755,1040.4403651759194,1005.9999999996547
MITE_2M,2,0.0002924249685715322,1085.860900106946,1029.999999999706
MITE_SDR,2,0.00029639852267148494,1085.860900106946,1029.999999999706
Oracle,2,,1085.860900106946,1029.999999999706
RAND,3,,473.30293374112443,699.9999999997851
ITE_best,3,0.0027840406118324794,726.6940904374354,1017.9999999997075
ITE_2M,3,0.00278347818186831,726.6940904374354,1017.9999999997075
ITE_SDR,3,0.0027795002156135095,726.6940904374354,1017.9999999997075
MITE_2M,3,0.00032931727025380033,735.9884843386889,1029.9999999997
MITE_SDR,3,0.0003289095756058394,735.9884843386889,1029.9999999997
Oracle,3,,735.9884843386889,1029.9999999997
RAND,4,,738.8256745995204,699.9999999997855
ITE_best,4,0.0018755530590608665,996.6088551632015,1009.9999999997084
ITE_2M,4,0.0018716222086349772,996.6088551632015,1009.9999999997084
ITE_SDR,4,0.0018771749406291441,996.6088551632015,1009.9999999997084
MITE_2M,4,0.0002070349428266204,1014.250924643246,1029.999999999701
MITE_SDR,4,0.00020943526996365582,1014.250924643246,1029.999999999701
Oracle,4,,1014.250924643246,1029.999999999701
RAND,5,,818.3253436252271,699.9999999997848
ITE_best,5,0.002098545815816316,1035.5263916380395,953.9999999997557
ITE_2M,5,0.0020979843154643107,1035.5263916380395,953.9999999997557
ITE_SDR,5,0.0020880169255363995,1035.5263916380395,953.9999999997557
MITE_2M,5,0.00020043343564648313,1151.655436501491,1029.9999999996992
MITE_SDR,5,0.00020696568235238053,1151.655436501491,1029.9999999996992
Oracle,5,,1151.655436501491,1029.9999999996992
RAND,6,,771.4399268615707,699.9999999997863
ITE_best,6,0.0023564077695723707,956.4899320545613,861.999999999843
ITE_2M,6,0.0023560241331156014,956.4899320545613,861.999999999843
ITE_SDR,6,0.002355317878189264,956.4899320545613,861.999999999843
MITE_2M,6,0.0004066200732847691,1277.957179090622,1029.9999999997015
MITE_SDR,6,0.0004093766147095048,1277.957179090622,1029.9999999997015
Oracle,6,,1277.957179090622,1029.9999999997015
RAND,7,,815.6286433306777,699.9999999997867
ITE_best,7,0.0019030973186427067,1024.8567343372526,985.9999999997306
ITE_2M,7,0.0019023579186251667,1024.8567343372526,985.9999999997306
ITE_SDR,7,0.0019029978426017915,1024.8567343372526,985.9999999997306
MITE_2M,7,0.00020614449253726573,1106.226120937575,1029.9999999997033
MITE_SDR,7,0.00020927956728456802,1106.226120937575,1029.9999999997033
Oracle,7,,1106.226120937575,1029.9999999997033
RAND,8,,807.1103210889887,699.9999999997904
ITE_best,8,0.0020210771692805883,1102.1442520668202,985.9999999997991
ITE_2M,8,0.0020200994156305387,1102.1442520668202,985.9999999997991
ITE_SDR,8,0.0020200163268491345,1102.1442520668202,985.9999999997991
MITE_2M,8,0.0002468339337930596,1156.3730120277257,1029.9999999997099
MITE_SDR,8,0.00024921314725907866,1156.3730120277257,1029.9999999997099
Oracle,8,,1156.3730120277257,1029.9999999997099
RAND,9,,720.3228481927908,699.9999999997888
ITE_best,9,0.0020912180750021106,1042.6192545924234,985.9999999997424
ITE_2M,9,0.0020905020738685564,1042.6192545924234,985.9999999997424
ITE_SDR,9,0.002089885552796252,1042.6192545924234,985.9999999997424
MITE_2M,9,0.0002856181029739457,1110.081567574756,1025.9999999997224
MITE_SDR,9,0.0002897848225045055,1110.081567574756,1025.9999999997224
Oracle,9,,1113.3754888574388,1029.9999999997067
RAND,10,,881.1050778914032,699.999999999787
ITE_best,10,0.0021536970237962297,1176.852258552327,957.9999999998228
ITE_2M,10,0.002153258960921461,1176.852258552327,957.9999999998228
ITE_SDR,10,0.002145100090674288,1176.852258552327,957.9999999998228
MITE_2M,10,0.00026579706575473024,1304.360612823093,1029.999999999703
